SKU,post_status,post_title,post_content ,post_excerpt,category,regular_price,visibility,featured_image
3-32809,publish,Vinyl Gloves 100ct (XL) Item #1551-1,"Price: $1.75, Case  qty: 10, UPC: 643117155111<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.75,general merchandise,1.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
42LED,publish,42 LED Flashlight #34933-6,"Price: $3.75, Case  qty: 48, UPC: 643117349336<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.75,flashlights,3.75,visible,http://truforge.co/wp-content/uploads/2016/02/34933.jpg
8-40500,publish,Bible Keychain #70911  Gg,"Price: $0.25, Case  qty: 1200, UPC: 643117709116<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.25,general merchandise,0.25,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
ABG,publish,Air Blow Gun W/Rubber Tip #09903,"Price: $1.00, Case  qty: 96, UPC: 643117099033<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,home & auto tools->auto,1.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AC,publish,Auto Compass #29388,"Price: $0.50, Case  qty: 72, UPC: 643117293882<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,auto accessories,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AC1,publish,Compass Precision W/Magnifier  M,"Price: $0.55, Case  qty: 72, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,sporting goods->sporting goods,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AH601,publish,2ct Auto Hooks #70114,"Price: $0.55, Case  qty: 24, UPC: 643117701141<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,auto accessories,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AHR,publish,Air Hose Repair Kit 6pc #05529,"Price: $1.50, Case  qty: 120, UPC: 643117055299<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.50,home & auto tools->auto,1.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AR22,publish,Adjustable Rake #13170-2,"Price: $2.85, Case  qty: 12, UPC: 643117131702<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.85,home & auto tools->home,2.85,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AS12,publish,12pc Plastic Hooks W/Adhesive Back,"Price: $0.48, Case  qty: 100, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.48,small tools & hardware->hooks,0.48,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AS16,publish,16pc Adhesive Hook Nondrill #60110,"Price: $0.65, Case  qty: 36, UPC: 643117601106<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,small tools & hardware->hooks,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AS6,publish,6pc Adhesive Hook Nondrill #60109,"Price: $0.65, Case  qty: 36, UPC: 643117601090<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,small tools & hardware->hooks,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
ASHG,publish,Glass Tray,"Price: $0.25, Case  qty: 36, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.25,general merchandise,0.25,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
ATB,publish,Adjustable Tow Bar #13329,"Price: $35.00, Case  qty: 1, UPC: 643117133294<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $35.00,home & auto tools->auto,35.00,visible,http://truforge.co/wp-content/uploads/2016/02/13329.jpg
ATD18,publish,"18"" Adjustabel Tie Down #20407 M","Price: $0.50, Case  qty: 48, UPC: 643117204079<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
ATD24,publish,"24"" Adjustabel Tie Down #20411 M","Price: $0.50, Case  qty: 48, UPC: 643117204116<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
ATL6,publish,"6"" Torpedo Level #37588","Price: $0.50, Case  qty: 144, UPC: 643117375885<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
ATL9M,publish,"9"" Magnetic Torpedo Level #52589","Price: $0.65, Case  qty: 24, UPC: 643117525891<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,small tools & hardware,0.65,visible,http://truforge.co/wp-content/uploads/2016/02/52589.jpg
AW15,publish,"Adjustable Wrench 15"" #13515","Price: $5.25, Case  qty: 12, UPC: 643117135151<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.25,home & auto tools->home,5.25,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AW18,publish,"Adjustable Wrench 18"" #13518","Price: $9.50, Case  qty: 12, UPC: 643117135182<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $9.50,home & auto tools->home,9.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
AW24,publish,"Adjustable Wrench 24"" #13521","Price: $13.75, Case  qty: 6, UPC: 643117135212<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $13.75,home & auto tools->home,13.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BB25,publish,25pc Self-Stick Bumpers #71030,"Price: $0.50, Case  qty: 48, UPC: 643117710303<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BB3,publish,Bath Brush 3pc #20201-3,"Price: $0.69, Case  qty: 48, UPC: 643117202013<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.69,small tools & hardware,0.69,visible,http://truforge.co/wp-content/uploads/2016/02/20201.jpg
BB6,publish,"Ball Bungie Cord,6pc #10908","Price: $0.50, Case  qty: 48, UPC: 643117109084<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/10908.jpg
BBQLB,publish,Bbq Lighter (Black) #70002-0,"Price: $0.55, Case  qty: 144, UPC: 643117700021<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BCF,publish,4 In 1 Screwdriver Set #76054 M,"Price: $0.50, Case  qty: 192, UPC: 643117760544<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware->screw driver,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BCHD18,publish,"Bungee Cord H.D.18"" #20010","Price: $0.50, Case  qty: 48, UPC: 643117200101<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BCHD182,publish,"2pk 18"" Bungee Cord #20053  Mm","Price: $0.65, Case  qty: 48, UPC: 643117200538<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,small tools & hardware,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BCHD236,publish,"Bungee Cord 36"" 2pc # #10302","Price: $0.50, Case  qty: 60, UPC: 643117103020<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/10302.jpg
BCHD324,publish,"Bungee Cord H.D. 24"" 3pc #10305","Price: $0.55, Case  qty: 24, UPC: 643117103051<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/02/10305.jpg
BCHD4,publish,4pc Bungee Cord #10715,"Price: $0.45, Case  qty: 72, UPC: 643117107158<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BCHD6,publish,6pc Bungee Cord #11039,"Price: $0.50, Case  qty: 48, UPC: 643117110394<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BCHD72,publish,"Bungee Cord H.D.72"" #11024","Price: $0.50, Case  qty: 60, UPC: 643117110240<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/11024.jpg
BIT20,publish,"20"" Bicycle Inner Tube #29436","Price: $0.65, Case  qty: 24, UPC: 643117294360<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,sporting goods->sporting goods,0.65,visible,http://truforge.co/wp-content/uploads/2016/02/29436.jpg
BIT24,publish,"24"" Bicycle Inner Tube #29439","Price: $0.65, Case  qty: 24, UPC: 643117294391<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,sporting goods->sporting goods,0.65,visible,http://truforge.co/wp-content/uploads/2016/02/29439.jpg
BK3,publish,3pc Snap Off Blade Knife #25489-0,"Price: $0.50, Case  qty: 72, UPC: 643117254890<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/25489.jpg
BL,publish,LED Book Light #25803,"Price: $0.50, Case  qty: 576, UPC: 643117258034<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BMO,publish,Broom & Mop Organizer Bar #30451 M,"Price: $0.55, Case  qty: 48, UPC: 643117304519<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BPC,publish,Battery Post Cleaner #29448,"Price: $0.65, Case  qty: 24, UPC: 643117294483<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,auto accessories,0.65,visible,http://truforge.co/wp-content/uploads/2016/02/29448.jpg
BPC3,publish,3pc Pipe Brush Cleaning Kit #29529,"Price: $0.65, Case  qty: 36, UPC: 643117295299<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,small tools & hardware->brush/paniting,0.65,visible,http://truforge.co/wp-content/uploads/2016/02/29529.jpg
BPH32,publish,Rear View Mirror #61017,"Price: $0.55, Case  qty: 288, UPC: 643117610177<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,auto accessories,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BS,publish,Handle Mesh Sponge Style #13017-0,"Price: $0.60, Case  qty: 48, UPC: 643117130170<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.60,general merchandise,0.60,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BS21,publish,"Bow Saw 21"" #11019","Price: $1.50, Case  qty: 24, UPC: 643117110196<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.50,home & auto tools->home,1.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
BS24,publish,"Bow Saw 24"" #11020","Price: $2.00, Case  qty: 24, UPC: 643117110202<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.00,home & auto tools->home,2.00,visible,http://truforge.co/wp-content/uploads/2016/02/11020.jpg
BS30,publish,"Bow Saw30"" #11021","Price: $2.50, Case  qty: 24, UPC: 643117110219<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.50,home & auto tools->home,2.50,visible,http://truforge.co/wp-content/uploads/2016/02/11021.jpg
CB,publish,5pc Coupler Brass #12214,"Price: $2.00, Case  qty: 96, UPC: 643117122144<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.00,home & auto tools->auto,2.00,visible,http://truforge.co/wp-content/uploads/2016/02/12214.jpg
CB11,publish,"11"" Parts Cleaning Brush #16093-1","Price: $0.50, Case  qty: 48, UPC: 643117160931<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware->brush/paniting,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/16093.jpg
CC8,publish,Expandable Over Door Hook #08332 Yd,"Price: $0.60, Case  qty: 48, UPC: 643117083322<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.60,small tools & hardware->hooks,0.60,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CD,publish,Car Duster #28311-1,"Price: $0.50, Case  qty: 100, UPC: 643117283111<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,auto accessories,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/28311.jpg
CD120,publish,Cd Case 120 W/Carvisor #94429,"Price: $4.00, Case  qty: 12, UPC: 643117944296<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/02/94429.jpg
CD224,publish,Cd Case 224/208 W/Color #94430,"Price: $5.50, Case  qty: 8, UPC: 643117944302<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.50,general merchandise,5.50,visible,http://truforge.co/wp-content/uploads/2016/02/94430.jpg
CFMB,publish,Car Floor Mat Black #25224,"Price: $3.75, Case  qty: 10, UPC: 643117252247<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.75,auto accessories,3.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CFMBE,publish,Car Floor Mat (Beige) #25227-2,"Price: $3.75, Case  qty: 10, UPC: 643117252278<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.75,auto accessories,3.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CFMBL,publish,Far Floor Mat (Blue) #25229,"Price: $3.75, Case  qty: 10, UPC: 643117252292<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.75,auto accessories,3.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CFMC,publish,Car Floor Mat (Charcoal) #25226-2,"Price: $3.75, Case  qty: 10, UPC: 643117252261<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.75,auto accessories,3.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CFMDG,publish,Car Floor Mat (Dark Gray) #25225-2,"Price: $3.75, Case  qty: 10, UPC: 643117252254<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.75,auto accessories,3.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CH,publish,Cord Holder #13302,"Price: $0.50, Case  qty: 48, UPC: 643117133027<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/13302.jpg
CH1,publish,Chain Hoist 1Tx1.8M #10210,"Price: $19.00, Case  qty: 1, UPC: 643117102108<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $19.00,home & auto tools->auto,19.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CH2,publish,Chain Hoist 2Tx1.8M #10213,"Price: $25.00, Case  qty: 1, UPC: 643117102139<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $25.00,home & auto tools->auto,25.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CH3,publish,Chain Hoist 3Tx3M #10965,"Price: $39.00, Case  qty: 1, UPC: 643117109657<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $39.00,home & auto tools->auto,39.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CH5,publish,Chain Hoist 5Tx3M #13152,"Price: $50.00, Case  qty: 1, UPC: 643117131528<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $50.00,home & auto tools->auto,50.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CHS8,publish,Claw Hammer Steel Handle 8 Oz #26255,"Price: $0.65, Case  qty: 48, UPC: 643117262550<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,small tools & hardware,0.65,visible,http://truforge.co/wp-content/uploads/2016/02/26255.jpg
COMP1,publish,Computer Duster #29203,"Price: $0.35, Case  qty: 300, UPC: 643117292038<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.35,small tools & hardware,0.35,visible,http://truforge.co/wp-content/uploads/2016/02/29203.jpg
CPT,publish,"Claw Pick Up Tool 24"" #12009-6","Price: $0.55, Case  qty: 108, UPC: 643117120096<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/02/12009.jpg
CPW,publish,"Caution Tape 3""X48Ft #38986 M","Price: $0.48, Case  qty: 36, UPC: 643117389868<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.48,small tools & hardware,0.48,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CPW100,publish,Tape Caution 3*100Ft #28986,"Price: $0.59, Case  qty: 24, UPC: 643117289861<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.59,small tools & hardware,0.59,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CS12,publish,10pc Auto Plug In Fuse W/Test #11035,"Price: $0.59, Case  qty: 144, UPC: 643117110356<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.59,auto accessories,0.59,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CS714L,publish,"7-1/4"" Circular Saw W/ Laser H.D.","Price: $29.00, Case  qty: 4, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $29.00,home & auto tools->home,29.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CT100,publish,Nylon Tie Twist 100pc #12507-7,"Price: $1.00, Case  qty: 72, UPC: 643117125077<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,small tools & hardware,1.00,visible,http://truforge.co/wp-content/uploads/2016/02/12507.jpg
CT2,publish,75pc Cable Tie #13670,"Price: $0.45, Case  qty: 72, UPC: 643117136707<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CT8100,publish,8pc Nylon Strap #31926,"Price: $0.50, Case  qty: 540, UPC: 643117319261<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CUT100,publish,Blue Utility Knife,"Price: $0.45, Case  qty: 192, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,small tools & hardware->knives,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CW,publish,Car Wax Soft Gloss Paste #27101-9,"Price: $0.90, Case  qty: 48, UPC: 643117271019<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.90,auto accessories,0.90,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CWM1,publish,Wash Mitt Sheep Skin Like Cloth,"Price: $0.50, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,auto accessories,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
CWM2,publish,Car Wash Mitts #29343,"Price: $0.75, Case  qty: 72, UPC: 643117293431<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.75,auto accessories,0.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
